,img_name,season
4512,./data/spring/6502.jpeg,0
28738,./data/winter/558.jpeg,3
27537,./data/winter/4958.jpeg,3
1349,../fashiondata_tng/photos/628/6285570401-periwinkle-summer-lee-cooper-jeans-black-printed-acw-wedges-white-chanel-new_400.jpg,1
24969,./data/winter/115.jpeg,3
6768,./data/spring/1796.jpeg,0
24398,./data/autumn/4350.jpeg,2
5643,./data/spring/4528.jpeg,0
2223,../fashiondata_tng/photos/846/8461788870-pleated-summer-forever-dress-phuket-thailand-hat-zebra-print-forever-21-sock_400.jpg,1
9492,./data/spring/2353.jpeg,0
20624,./data/autumn/6824.jpeg,2
29966,./data/winter/315.jpeg,3
15277,./data/summer/3981.jpeg,1
8591,./data/spring/334.jpeg,0
3528,./data/spring/4434.jpeg,0
26598,./data/winter/4555.jpeg,3
24151,./data/autumn/6149.jpeg,2
2885,../fashiondata_tng/photos/799/7999180578-blue-thrifted-jacket-pink-h-m-dress-gray-gap-skirt-beige-spring-shoes-_400.jpg,0
21790,./data/autumn/5573.jpeg,2
27050,./data/winter/2250.jpeg,3
17247,./data/summer/259.jpeg,1
7354,./data/spring/6246.jpeg,0
31621,./data/winter/3609.jpeg,3
13901,./data/summer/6845.jpeg,1
4155,./data/spring/2040.jpeg,0
30527,./data/winter/687.jpeg,3
11773,./data/summer/6656.jpeg,1
23332,./data/autumn/1621.jpeg,2
22982,./data/autumn/2601.jpeg,2
12218,./data/summer/4741.jpeg,1
8902,./data/spring/6323.jpeg,0
20540,./data/autumn/2042.jpeg,2
27152,./data/winter/1115.jpeg,3
475,../fashiondata_tng/photos/412/4123021926-white-summer-blazer-wwwshophandrcom-blazer-white-lace-bandeau-wwwshophandrcom-_400.jpg,1
5186,./data/spring/3705.jpeg,0
7944,./data/spring/2852.jpeg,0
12340,./data/summer/4781.jpeg,1
18199,./data/autumn/6665.jpeg,2
22684,./data/autumn/4303.jpeg,2
6809,./data/spring/1322.jpeg,0
17779,./data/autumn/5846.jpeg,2
12667,./data/summer/4715.jpeg,1
11751,./data/summer/4916.jpeg,1
6930,./data/spring/5046.jpeg,0
7487,./data/spring/3939.jpeg,0
6017,./data/spring/2409.jpeg,0
4504,./data/spring/6151.jpeg,0
21556,./data/autumn/1478.jpeg,2
17504,./data/summer/6010.jpeg,1
18058,./data/autumn/896.jpeg,2
8984,./data/spring/3885.jpeg,0
8885,./data/spring/5371.jpeg,0
8224,./data/spring/5425.jpeg,0
14028,./data/summer/1325.jpeg,1
16045,./data/summer/973.jpeg,1
26190,./data/winter/2331.jpeg,3
28156,./data/winter/2440.jpeg,3
19481,./data/autumn/5988.jpeg,2
10495,./data/summer/4191.jpeg,1
19146,./data/autumn/4070.jpeg,2
29475,./data/winter/4119.jpeg,3
5836,./data/spring/5865.jpeg,0
4286,./data/spring/3923.jpeg,0
17351,./data/summer/2421.jpeg,1
23406,./data/autumn/2540.jpeg,2
20818,./data/autumn/339.jpeg,2
30331,./data/winter/3960.jpeg,3
1894,../fashiondata_tng/photos/238/2382497142-silver-floral-its-vintage-darling-dress-silver-call-it-spring-hat_400.jpg,0
18598,./data/autumn/2253.jpeg,2
17959,./data/autumn/4980.jpeg,2
27180,./data/winter/5574.jpeg,3
18672,./data/autumn/6123.jpeg,2
16013,./data/summer/3446.jpeg,1
29461,./data/winter/6298.jpeg,3
17540,./data/autumn/4429.jpeg,2
25766,./data/winter/97.jpeg,3
25549,./data/winter/5338.jpeg,3
29018,./data/winter/5357.jpeg,3
27903,./data/winter/1979.jpeg,3
18596,./data/autumn/4435.jpeg,2
19159,./data/autumn/3709.jpeg,2
21563,./data/autumn/2864.jpeg,2
8780,./data/spring/4466.jpeg,0
15016,./data/summer/6621.jpeg,1
8468,./data/spring/75.jpeg,0
21807,./data/autumn/2284.jpeg,2
22424,./data/autumn/2638.jpeg,2
11510,./data/summer/4854.jpeg,1
1995,../fashiondata_tng/photos/505/5059506309-turquoise-blue-floral-dress-forever-21-dress-nude-call-it-spring-heels_400.jpg,0
1544,../fashiondata_tng/photos/274/2749641446-green-dot-winter-lennon-top-blue-striped-sugarlips-pants_400.jpg,3
14438,./data/summer/1474.jpeg,1
30914,./data/winter/6920.jpeg,3
22073,./data/autumn/4734.jpeg,2
16522,./data/summer/5049.jpeg,1
13315,./data/summer/833.jpeg,1
25949,./data/winter/6855.jpeg,3
31249,./data/winter/5915.jpeg,3
30114,./data/winter/6611.jpeg,3
1100,../fashiondata_tng/photos/951/9518365687-tan-asos-hat-tan-h-m-fall-obsession-cardigan_400.jpg,2
24574,./data/autumn/746.jpeg,2
30005,./data/winter/6226.jpeg,3
21223,./data/autumn/7023.jpeg,2
22011,./data/autumn/2338.jpeg,2
16119,./data/summer/43.jpeg,1
13183,./data/summer/3477.jpeg,1
11526,./data/summer/5639.jpeg,1
1272,../fashiondata_tng/photos/794/7940869833-white-winter-kate-cardigan-white-styleisstyle-t-shirt-blue-zara-jeans-silv_400.jpg,3
13351,./data/summer/7076.jpeg,1
15553,./data/summer/2642.jpeg,1
18004,./data/autumn/768.jpeg,2
2563,../fashiondata_tng/photos/253/2535593563-black-call-it-spring-boots-dark-gray-forever21-jeans_400.jpg,0
1834,../fashiondata_tng/photos/920/9202101353-green-winter-delias-coat-brown-leopard-print-target-boots_400.jpg,3
9605,./data/spring/567.jpeg,0
2860,../fashiondata_tng/photos/105/10555188859-camel-leather-arturo-chiang-boots-winter-white-thrift-store-dress_400.jpg,3
12415,./data/summer/6429.jpeg,1
30197,./data/winter/5332.jpeg,3
3419,./data/spring/4875.jpeg,0
7661,./data/spring/684.jpeg,0
16348,./data/summer/4548.jpeg,1
29500,./data/winter/6447.jpeg,3
8084,./data/spring/3288.jpeg,0
25591,./data/winter/3144.jpeg,3
23349,./data/autumn/683.jpeg,2
15322,./data/summer/690.jpeg,1
4196,./data/spring/4354.jpeg,0
2497,../fashiondata_tng/photos/205/2053630249-navy-suede-spring-boots-silver-faux-leather-suzy-shier-jacket-light-blue-cab_400.jpg,0
11350,./data/summer/3489.jpeg,1
31354,./data/winter/5955.jpeg,3
8651,./data/spring/5078.jpeg,0
1186,../fashiondata_tng/photos/828/8280981083-black-summer-shoes-h-m-shoes-blue-ripped-zara-jeans-black-leather-jacket_400.jpg,1
19835,./data/autumn/3985.jpeg,2
31161,./data/winter/898.jpeg,3
2164,../fashiondata_tng/photos/292/2923964854-black-polka-dot-aldo-tights-black-metallic-accent-spring-bag_400.jpg,0
3138,../fashiondata_tng/photos/502/5026538648-peach-winter-kate-dress-light-pink-zadig-voltaire-bag_400.jpg,3
2704,../fashiondata_tng/photos/625/6251781151-hot-pink-romwe-dress-black-call-it-spring-bag-lime-green-bcbgeneration-pumps_400.jpg,0
11413,./data/summer/3144.jpeg,1
27692,./data/winter/3856.jpeg,3
16543,./data/summer/145.jpeg,1
1916,../fashiondata_tng/photos/528/5284586270-blue-rubyx-dress-black-zara-pants-black-spring-boots-black-vintage-belt-_400.jpg,0
17357,./data/summer/4598.jpeg,1
29360,./data/winter/6633.jpeg,3
21137,./data/autumn/3267.jpeg,2
27885,./data/winter/879.jpeg,3
30138,./data/winter/2065.jpeg,3
15564,./data/summer/5484.jpeg,1
18757,./data/autumn/2081.jpeg,2
8257,./data/spring/6895.jpeg,0
28394,./data/winter/4872.jpeg,3
29117,./data/winter/3280.jpeg,3
19557,./data/autumn/4382.jpeg,2
15223,./data/summer/5765.jpeg,1
25730,./data/winter/4776.jpeg,3
7518,./data/spring/1854.jpeg,0
7048,./data/spring/5189.jpeg,0
6426,./data/spring/2458.jpeg,0
4915,./data/spring/358.jpeg,0
6387,./data/spring/2242.jpeg,0
4527,./data/spring/5704.jpeg,0
10545,./data/summer/6745.jpeg,1
13625,./data/summer/5240.jpeg,1
15177,./data/summer/1741.jpeg,1
27737,./data/winter/2117.jpeg,3
10603,./data/summer/1451.jpeg,1
25772,./data/winter/651.jpeg,3
19273,./data/autumn/5432.jpeg,2
9953,./data/spring/5482.jpeg,0
22357,./data/autumn/3861.jpeg,2
6746,./data/spring/103.jpeg,0
25776,./data/winter/2339.jpeg,3
16073,./data/summer/1863.jpeg,1
18651,./data/autumn/260.jpeg,2
20561,./data/autumn/3042.jpeg,2
17511,./data/summer/3621.jpeg,1
26818,./data/winter/3715.jpeg,3
6622,./data/spring/1816.jpeg,0
27254,./data/winter/5748.jpeg,3
5773,./data/spring/417.jpeg,0
4760,./data/spring/3195.jpeg,0
18869,./data/autumn/6495.jpeg,2
18244,./data/autumn/1832.jpeg,2
5544,./data/spring/294.jpeg,0
8696,./data/spring/5325.jpeg,0
13927,./data/summer/1094.jpeg,1
5877,./data/spring/6002.jpeg,0
11066,./data/summer/4811.jpeg,1
3404,./data/spring/2854.jpeg,0
31649,./data/winter/5881.jpeg,3
30587,./data/winter/7067.jpeg,3
23436,./data/autumn/5661.jpeg,2
17951,./data/autumn/3959.jpeg,2
22947,./data/autumn/644.jpeg,2
17374,./data/summer/1113.jpeg,1
10071,./data/spring/4247.jpeg,0
9535,./data/spring/4809.jpeg,0
21340,./data/autumn/6488.jpeg,2
27233,./data/winter/6714.jpeg,3
16686,./data/summer/5126.jpeg,1
9679,./data/spring/154.jpeg,0
17875,./data/autumn/6325.jpeg,2
23247,./data/autumn/1210.jpeg,2
14251,./data/summer/1455.jpeg,1
30100,./data/winter/1837.jpeg,3
3459,./data/spring/643.jpeg,0
1358,../fashiondata_tng/photos/919/9199059824-black-call-it-spring-boots-black-forever-21-sunglasses_400.jpg,0
26891,./data/winter/2247.jpeg,3
8275,./data/spring/817.jpeg,0
692,../fashiondata_tng/photos/478/4781473111-black-urban-outfitters-hat-ivory-kimono-silk-winter-kate-jacket_400.jpg,3
6714,./data/spring/5279.jpeg,0
28225,./data/winter/5242.jpeg,3
2288,../fashiondata_tng/photos/995/9957321707-light-brown-forever-21-shoes-charcoal-gray-opaque-tights-black-winter-wool-f_400.jpg,3
5229,./data/spring/2256.jpeg,0
17208,./data/summer/676.jpeg,1
15398,./data/summer/5627.jpeg,1
6269,./data/spring/991.jpeg,0
18174,./data/autumn/6692.jpeg,2
20297,./data/autumn/329.jpeg,2
14786,./data/summer/4348.jpeg,1
22838,./data/autumn/1185.jpeg,2
29340,./data/winter/1616.jpeg,3
9615,./data/spring/5525.jpeg,0
7345,./data/spring/2753.jpeg,0
378,../fashiondata_tng/photos/541/5411929237-call-it-spring-boots-h-m-coat-simons-hat-h-m-scarf-h-m-purse_400.jpg,0
22198,./data/autumn/828.jpeg,2
